Issued To	Issued By	Expiration Date	Intended Purposes	Friendly Name	Status	Certificate Template
172.24.240.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	11/1/2022	Server Authentication, Client Authentication	<None>	    	
172.24.64.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	11/11/2022	Server Authentication, Client Authentication	<None>	    	
172.24.80.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	11/1/2022	Server Authentication, Client Authentication	<None>	    	
172.25.0.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	11/30/2022	Server Authentication, Client Authentication	<None>	    	
172.25.112.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	11/1/2022	Server Authentication, Client Authentication	<None>	    	
172.25.144.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	10/26/2022	Server Authentication, Client Authentication	<None>	    	
172.25.160.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	2/27/2023	Server Authentication, Client Authentication	<None>	    	
172.25.192.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	11/26/2022	Server Authentication, Client Authentication	<None>	    	
172.25.224.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	11/15/2022	Server Authentication, Client Authentication	<None>	    	
172.25.240.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	11/23/2022	Server Authentication, Client Authentication	<None>	    	
172.25.48.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	1/16/2023	Server Authentication, Client Authentication	<None>	    	
172.25.96.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	3/11/2023	Server Authentication, Client Authentication	<None>	    	
172.26.0.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	12/29/2022	Server Authentication, Client Authentication	<None>	    	
172.26.144.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	11/1/2022	Server Authentication, Client Authentication	<None>	    	
172.26.16.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	10/21/2022	Server Authentication, Client Authentication	<None>	    	
172.26.176.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	1/12/2023	Server Authentication, Client Authentication	<None>	    	
172.26.208.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	10/20/2022	Server Authentication, Client Authentication	<None>	    	
172.26.224.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	10/31/2022	Server Authentication, Client Authentication	<None>	    	
172.26.48.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	11/1/2022	Server Authentication, Client Authentication	<None>	    	
172.26.96.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	12/17/2022	Server Authentication, Client Authentication	<None>	    	
172.27.0.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	10/20/2022	Server Authentication, Client Authentication	<None>	    	
172.27.112.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	11/23/2022	Server Authentication, Client Authentication	<None>	    	
172.27.128.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	11/6/2022	Server Authentication, Client Authentication	<None>	    	
172.27.144.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	10/20/2022	Server Authentication, Client Authentication	<None>	    	
172.27.160.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	11/2/2022	Server Authentication, Client Authentication	<None>	    	
172.27.176.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	11/4/2022	Server Authentication, Client Authentication	<None>	    	
172.27.192.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	11/2/2022	Server Authentication, Client Authentication	<None>	    	
172.27.208.1	Microsoft Windows Web Management (Test) (Kaycustomsethermine)	12/9/2022	Server Authentication, Client Authentication	<None>	    	
